building_id,dataset,building_type,metric,value,mean_actual,n_windows
Bear_assembly_Angel,BDG-2,commercial,cvrmse,0.255977988243103,471.1126403808594,358
Bear_assembly_Beatrice,BDG-2,commercial,cvrmse,0.5224179625511169,42.99738693237305,724
Bear_assembly_Danial,BDG-2,commercial,cvrmse,0.21012331545352936,160.90548706054688,358
Bear_assembly_Diana,BDG-2,commercial,cvrmse,0.4053332805633545,0.8576714992523193,358
Bear_assembly_Genia,BDG-2,commercial,cvrmse,0.30982208251953125,263.7848205566406,724
Bear_assembly_Harry,BDG-2,commercial,cvrmse,0.4298434853553772,17.49002456665039,358
Bear_assembly_Jose,BDG-2,commercial,cvrmse,0.21740952134132385,258.0723571777344,724
Bear_assembly_Roxy,BDG-2,commercial,cvrmse,0.7865541577339172,17.174842834472656,724
Bear_assembly_Ruby,BDG-2,commercial,cvrmse,0.17455919086933136,69.42938995361328,724
Bear_education_Alfredo,BDG-2,commercial,cvrmse,0.5438641905784607,0.18151037395000458,724
Bear_education_Alvaro,BDG-2,commercial,cvrmse,0.11869008839130402,419.90606689453125,724
Bear_education_Arnold,BDG-2,commercial,cvrmse,0.7347061634063721,0.5585451722145081,724
Bear_education_Augusta,BDG-2,commercial,cvrmse,0.5465203523635864,115.35000610351562,724
Bear_education_Austin,BDG-2,commercial,cvrmse,0.7337779402732849,21.09602165222168,724
Bear_education_Babara,BDG-2,commercial,cvrmse,0.09543070197105408,374.62432861328125,724
Bear_education_Benita,BDG-2,commercial,cvrmse,0.07664863765239716,521.9968872070312,724
Bear_education_Benjamin,BDG-2,commercial,cvrmse,0.6776796579360962,1.0812991857528687,358
Bear_education_Bob,BDG-2,commercial,cvrmse,0.39146682620048523,128.70396423339844,724
Bear_education_Bonita,BDG-2,commercial,cvrmse,0.7115225791931152,0.1915164589881897,724
Bear_education_Bulah,BDG-2,commercial,cvrmse,0.0952826589345932,1334.9393310546875,724
Bear_education_Carlo,BDG-2,commercial,cvrmse,0.5849557518959045,3.9573185443878174,358
Bear_education_Chad,BDG-2,commercial,cvrmse,0.11520364880561829,1003.3435668945312,724
