building_id,dataset,building_type,metric,value,mean_actual,n_windows
Bear_assembly_Angel,BDG-2,commercial,cvrmse,0.17231422662734985,471.1126403808594,358
Bear_assembly_Beatrice,BDG-2,commercial,cvrmse,0.32033562660217285,42.99738693237305,724
Bear_assembly_Danial,BDG-2,commercial,cvrmse,0.0983501523733139,160.90548706054688,358
Bear_assembly_Diana,BDG-2,commercial,cvrmse,0.28652846813201904,0.8576714992523193,358
Bear_assembly_Genia,BDG-2,commercial,cvrmse,0.18879826366901398,263.7848205566406,724
Bear_assembly_Harry,BDG-2,commercial,cvrmse,0.31253519654273987,17.49002456665039,358
Bear_assembly_Jose,BDG-2,commercial,cvrmse,0.1047181561589241,258.0723571777344,724
Bear_assembly_Roxy,BDG-2,commercial,cvrmse,0.6188197731971741,17.174842834472656,724
Bear_assembly_Ruby,BDG-2,commercial,cvrmse,0.10462601482868195,69.42938995361328,724
Bear_education_Alfredo,BDG-2,commercial,cvrmse,0.37731844186782837,0.18151037395000458,724
Bear_education_Alvaro,BDG-2,commercial,cvrmse,0.05760439857840538,419.90606689453125,724
Bear_education_Arnold,BDG-2,commercial,cvrmse,0.6621267199516296,0.5585451722145081,724
Bear_education_Augusta,BDG-2,commercial,cvrmse,0.23558245599269867,115.35000610351562,724
Bear_education_Austin,BDG-2,commercial,cvrmse,0.3184017539024353,21.09602165222168,724
Bear_education_Babara,BDG-2,commercial,cvrmse,0.06458443403244019,374.62432861328125,724
Bear_education_Benita,BDG-2,commercial,cvrmse,0.049362506717443466,521.9968872070312,724
Bear_education_Benjamin,BDG-2,commercial,cvrmse,0.5093071460723877,1.0812991857528687,358
Bear_education_Bob,BDG-2,commercial,cvrmse,0.19569425284862518,128.70396423339844,724
Bear_education_Bonita,BDG-2,commercial,cvrmse,0.4776320159435272,0.1915164589881897,724
Bear_education_Bulah,BDG-2,commercial,cvrmse,0.056206367909908295,1334.9393310546875,724
Bear_education_Carlo,BDG-2,commercial,cvrmse,0.3097887337207794,3.9573185443878174,358
