building_id,start_hour
G04000109_105033,1512
G04000109_105033,3864
G04000109_105033,4200
G04000109_105033,504
G04000109_105033,3528
G04000109_105033,6384
G04000109_105033,2688
G04000109_105033,6552
G04000109_105033,3192
G04000109_105033,1848
G04000109_105033,7728
G04000109_105033,4032
G04000109_105033,5544
G04000109_105033,4872
G04000109_105033,5208
G04000109_105033,7224
G04000109_105033,672
G04000109_105033,4704
G04000109_105033,1680
G04000109_105033,4368
G04000109_105033,6048
G04000109_105033,0
G04000109_105033,7392
G04000109_105033,3024
G04000109_105033,7056
G04000109_105033,8400
G04000109_105033,5880
G04000109_105033,8064
G04000109_105033,5040
G04000109_105033,3360
G04000109_105033,3696
G04000109_105033,2016
G04000109_105033,8568
G04000109_105033,5376
G04000109_105033,7560
G04000109_105033,2184
G04000109_105033,6888
G04000109_105033,8232
G04000109_105033,336
G04000109_105033,4536
G04000109_105033,6216
G04000109_105033,840
G04000109_105033,5712
G04000109_105033,1008
G04000109_105033,1344
G04000109_105033,2352
G04000109_105033,2520
G04000109_105033,2856
G04000109_105033,7896
G04000109_105033,168
G04000109_128570,2184
G04000109_128570,7224
G04000109_128570,2520
G04000109_128570,1512
G04000109_128570,4200
G04000109_128570,7728
G04000109_128570,168
G04000109_128570,0
G04000109_128570,2688
G04000109_128570,504
G04000109_128570,4368
G04000109_128570,5544
G04000109_128570,5208
G04000109_128570,7056
G04000109_128570,4704
G04000109_128570,6216
G04000109_128570,8232
G04000109_128570,1176
G04000109_128570,5712
G04000109_128570,6384
G04000109_128570,5376
G04000109_128570,3192
G04000109_128570,6888
G04000109_128570,3360
G04000109_128570,4536
G04000109_128570,3696
G04000109_128570,1344
G04000109_128570,3528
G04000109_128570,7392
G04000109_128570,5040
G04000109_128570,1848
G04000109_128570,1680
G04000109_128570,7560
G04000109_128570,4872
G04000109_128570,2856
G04000109_128570,8568
G04000109_128570,1008
G04000109_128570,7896
G04000109_128570,8400
G04000109_128570,8064
G04000109_128570,2352
G04000109_128570,336
G04000109_128570,672
G04000109_128570,2016
G04000109_128570,6048
G04000109_128570,3864
G04000109_128570,6552
G04000109_128570,6720
G04000109_128570,3024
G04000109_128570,5880
G04000109_162234,4368
G04000109_162234,1176
G04000109_162234,7224
G04000109_162234,1848
G04000109_162234,3024
G04000109_162234,3528
G04000109_162234,1008
G04000109_162234,3696
G04000109_162234,7056
G04000109_162234,5544
G04000109_162234,1680
G04000109_162234,0
G04000109_162234,4704
G04000109_162234,5376
G04000109_162234,6552
G04000109_162234,8232
G04000109_162234,2856
G04000109_162234,2016
G04000109_162234,8400
G04000109_162234,3192
G04000109_162234,7896
G04000109_162234,840
G04000109_162234,8064
G04000109_162234,5040
G04000109_162234,504
G04000109_162234,168
G04000109_162234,4032
G04000109_162234,336
G04000109_162234,6384
G04000109_162234,6216
G04000109_162234,672
G04000109_162234,2352
G04000109_162234,3864
G04000109_162234,7392
G04000109_162234,4536
G04000109_162234,6720
G04000109_162234,5712
G04000109_162234,5880
G04000109_162234,2520
G04000109_162234,1344
G04000109_162234,2688
G04000109_162234,1512
G04000109_162234,4872
G04000109_162234,7728
G04000109_162234,4200
G04000109_162234,5208
G04000109_162234,6888
G04000109_162234,8568
G04000109_162234,3360
G04000109_162234,7560
G04000109_170938,8400
G04000109_170938,4704
G04000109_170938,840
G04000109_170938,2184
G04000109_170938,6216
G04000109_170938,4032
G04000109_170938,3696
G04000109_170938,7056
G04000109_170938,4536
G04000109_170938,2856
G04000109_170938,2352
G04000109_170938,1344
G04000109_170938,3528
G04000109_170938,5712
G04000109_170938,7896
G04000109_170938,672
G04000109_170938,5208
G04000109_170938,5040
G04000109_170938,6888
G04000109_170938,336
G04000109_170938,3024
G04000109_170938,5880
G04000109_170938,168
G04000109_170938,1176
G04000109_170938,6048
G04000109_170938,4200
G04000109_170938,4368
G04000109_170938,7392
G04000109_170938,504
G04000109_170938,6552
G04000109_170938,2520
G04000109_170938,3360
G04000109_170938,8232
G04000109_170938,5544
G04000109_170938,8568
G04000109_170938,3864
G04000109_170938,1512
G04000109_170938,2016
G04000109_170938,6384
G04000109_170938,7224
G04000109_170938,3192
G04000109_170938,6720
G04000109_170938,1008
G04000109_170938,7560
G04000109_170938,1848
G04000109_170938,5376
G04000109_170938,2688
G04000109_170938,8064
G04000109_170938,7728
G04000109_170938,0
G04000109_194185,5040
G04000109_194185,4872
G04000109_194185,6888
G04000109_194185,3696
G04000109_194185,6552
G04000109_194185,2016
G04000109_194185,4536
G04000109_194185,3360
G04000109_194185,1512
G04000109_194185,1848
G04000109_194185,840
G04000109_194185,3864
G04000109_194185,1680
G04000109_194185,5712
G04000109_194185,7224
G04000109_194185,4032
G04000109_194185,2184
G04000109_194185,3192
G04000109_194185,8232
G04000109_194185,4200
G04000109_194185,4368
G04000109_194185,3024
G04000109_194185,8400
G04000109_194185,2856
G04000109_194185,1008
G04000109_194185,7896
G04000109_194185,5208
G04000109_194185,1344
G04000109_194185,8064
G04000109_194185,2688
G04000109_194185,5376
G04000109_194185,7392
G04000109_194185,336
G04000109_194185,6048
G04000109_194185,6384
G04000109_194185,504
G04000109_194185,7560
G04000109_194185,0
G04000109_194185,6720
G04000109_194185,7056
G04000109_194185,7728
G04000109_194185,5880
G04000109_194185,6216
G04000109_194185,168
G04000109_194185,3528
G04000109_194185,672
G04000109_194185,2352
G04000109_194185,2520
G04000109_194185,1176
G04000109_194185,8568
G04000109_220361,5544
G04000109_220361,1680
G04000109_220361,6720
G04000109_220361,3192
G04000109_220361,336
G04000109_220361,1512
G04000109_220361,3360
G04000109_220361,6888
G04000109_220361,3864
G04000109_220361,3696
G04000109_220361,6216
G04000109_220361,6048
G04000109_220361,4200
G04000109_220361,2688
G04000109_220361,2352
G04000109_220361,7224
G04000109_220361,3024
G04000109_220361,5376
G04000109_220361,8400
G04000109_220361,4368
G04000109_220361,168
G04000109_220361,8568
G04000109_220361,7560
G04000109_220361,5040
G04000109_220361,6384
G04000109_220361,2184
G04000109_220361,5208
G04000109_220361,1176
G04000109_220361,7056
G04000109_220361,4032
G04000109_220361,6552
G04000109_220361,840
G04000109_220361,0
G04000109_220361,504
G04000109_220361,8232
G04000109_220361,5880
G04000109_220361,7392
G04000109_220361,672
G04000109_220361,8064
G04000109_220361,4872
G04000109_220361,2856
G04000109_220361,1848
G04000109_220361,4536
G04000109_220361,1344
G04000109_220361,4704
G04000109_220361,5712
G04000109_220361,7896
G04000109_220361,2016
G04000109_220361,2520
G04000109_220361,1008
G04000109_254601,7056
G04000109_254601,7392
G04000109_254601,6552
G04000109_254601,6888
G04000109_254601,3864
G04000109_254601,3696
G04000109_254601,2856
G04000109_254601,3192
G04000109_254601,7728
G04000109_254601,4368
G04000109_254601,8400
G04000109_254601,0
G04000109_254601,168
G04000109_254601,4536
G04000109_254601,5208
G04000109_254601,2352
G04000109_254601,1512
G04000109_254601,8568
G04000109_254601,2016
G04000109_254601,4032
G04000109_254601,5712
G04000109_254601,5880
G04000109_254601,4872
G04000109_254601,1008
G04000109_254601,1344
G04000109_254601,7224
G04000109_254601,2688
G04000109_254601,4704
G04000109_254601,3024
G04000109_254601,3528
G04000109_254601,2184
G04000109_254601,6720
G04000109_254601,336
G04000109_254601,6048
G04000109_254601,1176
G04000109_254601,4200
G04000109_254601,2520
G04000109_254601,6384
G04000109_254601,672
G04000109_254601,1848
G04000109_254601,840
G04000109_254601,7560
G04000109_254601,8064
G04000109_254601,1680
G04000109_254601,5544
G04000109_254601,5376
G04000109_254601,5040
G04000109_254601,6216
G04000109_254601,8232
G04000109_254601,504
G04000109_317129,8064
G04000109_317129,8232
G04000109_317129,4200
G04000109_317129,4032
G04000109_317129,504
G04000109_317129,2016
G04000109_317129,5040
G04000109_317129,7560
G04000109_317129,1848
G04000109_317129,8568
G04000109_317129,4368
G04000109_317129,5208
